iter	Quantile:alpha=0.75
0	0.5005312023
1	0.4931698047
2	0.4864021427
3	0.4798108607
4	0.4732862027
5	0.4670230243
6	0.4612535163
7	0.4555097973
8	0.4499761709
9	0.4450272547
10	0.4399766555
11	0.4353125602
12	0.4309413298
13	0.4265120517
14	0.4221474736
15	0.4179850721
16	0.4140769116
17	0.4103004366
18	0.4068161838
19	0.4033821083
20	0.4000560185
21	0.3969056427
22	0.3939733996
23	0.3910294569
24	0.3881413764
25	0.385515672
26	0.3830264812
27	0.3805958412
28	0.3782177414
29	0.3759665039
30	0.3738305027
31	0.3716935908
32	0.3696108631
33	0.3676501138
34	0.365880798
35	0.3638987681
36	0.3621997076
37	0.3605835022
38	0.3589786538
39	0.3574286273
40	0.3558394935
41	0.354428329
42	0.352991688
43	0.3516474096
44	0.3503025931
45	0.3490194671
46	0.3477114474
47	0.3465266623
48	0.345379749
49	0.3442771099
50	0.3431825101
51	0.3421918382
52	0.341187283
53	0.3402406583
54	0.3393343592
55	0.3384917807
56	0.3377107999
57	0.3368556199
58	0.3361283867
59	0.3354010467
60	0.3346455793
61	0.334002857
62	0.3332983152
63	0.3327031745
64	0.3321223866
65	0.3315471948
66	0.3310178036
67	0.3304714052
68	0.3299615701
69	0.3294773536
70	0.3290451213
71	0.3286314744
72	0.3281850645
73	0.3277349343
74	0.3273262611
75	0.3268992203
76	0.3265188349
77	0.3261798533
78	0.3257932715
79	0.325431018
80	0.3251192133
81	0.3248054975
82	0.3245370419
83	0.3242562329
84	0.3239612601
85	0.3237120059
86	0.3234058247
87	0.3231483904
88	0.3228700066
89	0.3226596389
90	0.3224202626
91	0.3221746242
92	0.321987194
93	0.3217561165
94	0.3215633515
95	0.3213530931
96	0.3211631613
97	0.3209709399
98	0.3207951075
99	0.3206281213
100	0.3204732028
101	0.3203264413
102	0.3201788028
103	0.3200227809
104	0.3198756052
105	0.3197201268
106	0.3196024911
107	0.3194651289
108	0.3193441317
109	0.3192070399
110	0.3190869835
111	0.3189769265
112	0.3188612438
113	0.3187508407
114	0.3186582576
115	0.3185707853
116	0.3184730454
117	0.3183753781
118	0.3182762686
119	0.3181804103
120	0.318101359
121	0.3180199506
122	0.3179381418
123	0.3178690613
124	0.3178033473
125	0.3177342085
126	0.317676619
127	0.3176021228
128	0.3175463002
129	0.3174955239
130	0.3174402483
131	0.3173753463
132	0.3173145463
133	0.3172718296
134	0.3172222128
135	0.317169169
136	0.3171107283
137	0.3170591516
138	0.3169970957
139	0.3169578776
140	0.3169005482
141	0.3168592851
142	0.3168154753
143	0.3167775005
144	0.3167470613
145	0.3167133792
146	0.3166825972
147	0.3166365551
148	0.3165982615
149	0.316558101
150	0.3165181008
151	0.316486214
152	0.3164466533
153	0.3164226355
154	0.3163944348
155	0.3163528071
156	0.3163197111
157	0.3162789922
158	0.3162452814
159	0.3162141957
160	0.3161892634
161	0.3161687926
162	0.3161413539
163	0.3161201515
164	0.3160898833
165	0.3160688254
166	0.3160368472
167	0.3160107365
168	0.3159863649
169	0.3159715463
170	0.3159460408
171	0.3159189523
172	0.3158925382
173	0.3158662433
174	0.3158448535
175	0.3158215679
176	0.315795625
177	0.315775439
178	0.3157566611
179	0.315734662
180	0.3157133368
181	0.3156947418
182	0.3156783423
183	0.3156574588
184	0.3156369152
185	0.3156112863
186	0.315587084
187	0.3155723025
188	0.3155556626
189	0.3155429032
190	0.3155293536
191	0.3155127708
192	0.3154919029
193	0.3154762859
194	0.3154552902
195	0.3154404089
196	0.3154227364
197	0.3153984002
198	0.315381009
199	0.3153678072
200	0.315349619
201	0.3153324542
202	0.31531685
203	0.3152948681
204	0.3152815516
205	0.3152738302
206	0.3152539032
207	0.3152420453
208	0.3152272801
209	0.3152170706
210	0.3152048439
211	0.3151919121
212	0.3151828238
213	0.3151677767
214	0.3151576408
215	0.3151462862
216	0.3151348508
217	0.3151207244
218	0.3151024338
219	0.3150827736
220	0.3150699959
221	0.3150504672
222	0.3150369126
223	0.3150215361
224	0.3150079354
225	0.3149933417
226	0.3149775873
227	0.3149645386
228	0.3149493056
229	0.3149406875
230	0.3149276359
231	0.3149141593
232	0.3149049836
233	0.3148852235
234	0.3148732482
235	0.3148567718
236	0.3148386679
237	0.314823005
238	0.3148079405
239	0.3147967747
240	0.3147800792
241	0.314768344
242	0.3147618734
243	0.314745009
244	0.3147347755
245	0.314720437
246	0.3147095973
247	0.3146940044
248	0.3146841153
249	0.3146743802
250	0.3146626768
251	0.3146553098
252	0.3146430776
253	0.3146332047
254	0.3146218619
255	0.3146052609
256	0.3145943061
257	0.3145814121
258	0.3145630174
259	0.3145458485
260	0.314532507
261	0.3145222718
262	0.3145130525
263	0.3145035464
264	0.3144876621
265	0.3144699427
266	0.314457787
267	0.3144462754
268	0.3144359152
269	0.3144263209
270	0.3144128893
271	0.3144001606
272	0.3143945304
273	0.3143832103
274	0.3143691825
275	0.3143567535
276	0.314341457
277	0.3143234142
278	0.3143134538
279	0.3143041456
280	0.3142946278
281	0.3142848339
282	0.3142699865
283	0.3142631861
284	0.3142478316
285	0.3142386392
286	0.3142225778
287	0.3142106816
288	0.3142030015
289	0.3141855659
290	0.3141736305
291	0.3141628039
292	0.3141507527
293	0.3141416218
294	0.3141273552
295	0.3141186249
296	0.3141068323
297	0.3141002084
298	0.3140849184
299	0.3140689022
300	0.3140538584
301	0.314040194
302	0.3140318676
303	0.3140169053
304	0.3140110266
305	0.3140002562
306	0.3139893204
307	0.3139807925
308	0.3139657377
309	0.3139568849
310	0.3139514581
311	0.3139431298
312	0.3139296529
313	0.3139150352
314	0.3139084628
315	0.3138956481
316	0.3138842881
317	0.3138708014
318	0.3138586742
319	0.3138532476
320	0.3138404497
321	0.3138269241
322	0.3138095547
323	0.313798298
324	0.3137875543
325	0.3137780449
326	0.3137671386
327	0.3137551913
328	0.313747479
329	0.3137401221
330	0.3137268388
331	0.3137229403
332	0.3137097873
333	0.3136992592
334	0.313689443
335	0.3136836037
336	0.3136723
337	0.3136669758
338	0.3136547921
339	0.3136413965
340	0.3136349555
341	0.3136173093
342	0.3136019383
343	0.3135946407
344	0.3135803886
345	0.3135760379
346	0.31356495
347	0.3135584633
348	0.3135505536
349	0.3135390564
350	0.3135289036
351	0.313520672
352	0.3135126506
353	0.3134975268
354	0.3134902019
355	0.3134784273
356	0.3134668516
357	0.3134550247
358	0.3134451881
359	0.3134416588
360	0.3134289925
361	0.3134148184
362	0.3134044785
363	0.3133948919
364	0.3133800641
365	0.3133717067
366	0.313358324
367	0.3133453801
368	0.3133350161
369	0.3133234986
370	0.3133073672
371	0.3133005326
372	0.3132916321
373	0.3132802304
374	0.3132688138
375	0.3132602926
376	0.3132473742
377	0.313234438
378	0.3132236014
379	0.3132108426
380	0.3132057854
381	0.3131915253
382	0.3131770393
383	0.3131685962
384	0.3131590013
385	0.3131432995
386	0.3131275674
387	0.3131090939
388	0.3131035639
389	0.3130896343
390	0.3130777797
391	0.3130641087
392	0.3130537603
393	0.3130418978
394	0.3130347171
395	0.3130239334
396	0.3130123634
397	0.3130015471
398	0.3129908339
399	0.3129806914
400	0.3129706216
401	0.3129554395
402	0.3129410303
403	0.3129248975
404	0.3129113089
405	0.3128982149
406	0.3128868763
407	0.3128798468
408	0.3128663969
409	0.3128559881
410	0.3128423791
411	0.3128348536
412	0.3128198839
413	0.3128047082
414	0.3127947952
415	0.3127863478
416	0.3127726045
417	0.3127572061
418	0.312738204
419	0.3127289865
420	0.3127175161
421	0.3127039876
422	0.3126913608
423	0.3126802257
424	0.3126651925
425	0.3126562343
426	0.3126461687
427	0.3126353896
428	0.3126242454
429	0.3126143053
430	0.3126044127
431	0.3125943605
432	0.3125813126
433	0.3125712703
434	0.312557493
435	0.3125428979
436	0.3125300807
437	0.3125177408
438	0.3125031505
439	0.3124940551
440	0.3124814642
441	0.3124694413
442	0.3124583325
443	0.3124485742
444	0.3124383977
445	0.3124256299
446	0.3124175669
447	0.3124093851
448	0.3123996724
449	0.3123860104
450	0.3123758578
451	0.3123628589
452	0.3123492361
453	0.3123363522
454	0.3123292719
455	0.3123169639
456	0.312307774
457	0.31229946
458	0.3122880194
459	0.312278596
460	0.3122650333
461	0.3122524148
462	0.3122434552
463	0.3122288062
464	0.3122145118
465	0.3121993287
466	0.3121841087
467	0.3121707424
468	0.3121581205
469	0.3121455139
470	0.3121349087
471	0.3121195689
472	0.3121088436
473	0.3120987568
474	0.3120868638
475	0.31207201
476	0.3120629162
477	0.3120504465
478	0.3120389775
479	0.312030464
480	0.312015915
481	0.3120021909
482	0.3119937884
483	0.3119801927
484	0.3119701278
485	0.3119605795
486	0.3119490365
487	0.311938268
488	0.3119262077
489	0.3119161843
490	0.3119016384
491	0.311883025
492	0.3118690051
493	0.3118577094
494	0.3118475297
495	0.3118387434
496	0.3118288804
497	0.3118187605
498	0.3118099191
499	0.3117960658
500	0.3117858467
501	0.3117723283
502	0.3117620351
503	0.3117537763
504	0.3117489703
505	0.3117404338
506	0.3117281448
507	0.3117173825
508	0.3117045318
509	0.3116903194
510	0.3116758721
511	0.3116648637
512	0.3116532202
513	0.3116424276
514	0.3116343754
515	0.3116219599
516	0.3116120537
517	0.3115984326
518	0.3115840877
519	0.311570403
520	0.311552796
521	0.3115454457
522	0.3115368959
523	0.3115240934
524	0.3115150408
525	0.3115024739
526	0.3114899345
527	0.3114762923
528	0.3114618923
529	0.311454532
530	0.3114422033
531	0.3114330775
532	0.3114181408
533	0.311411
534	0.3114008043
535	0.311393131
536	0.3113850619
537	0.3113715892
538	0.311357906
539	0.3113451331
540	0.3113338529
541	0.3113246852
542	0.3113159241
543	0.3113103285
544	0.3113003859
545	0.3112936882
546	0.3112851632
547	0.3112719876
548	0.3112617027
549	0.3112536024
550	0.3112409552
551	0.3112266325
552	0.3112125436
553	0.311201917
554	0.3111880634
555	0.3111744324
556	0.3111610142
557	0.3111504894
558	0.3111385595
559	0.3111273376
560	0.3111198791
561	0.3111097021
562	0.3110995215
563	0.3110901279
564	0.3110792795
565	0.3110704853
566	0.3110616622
567	0.3110505579
568	0.311034371
569	0.3110230746
570	0.3110162807
571	0.3110049793
572	0.3109890129
573	0.31098159
574	0.3109708538
575	0.3109562012
576	0.3109468379
577	0.3109368636
578	0.3109273342
579	0.3109191819
580	0.3109079361
581	0.3108941995
582	0.3108829856
583	0.3108700298
584	0.31086123
585	0.3108460054
586	0.3108270886
587	0.3108193713
588	0.3108117913
589	0.310803566
590	0.3107907522
591	0.3107783949
592	0.3107659841
593	0.3107570826
594	0.3107466877
595	0.3107354166
596	0.3107244717
597	0.3107153832
598	0.3107020264
599	0.3106936188
600	0.310681935
601	0.3106708207
602	0.310662137
603	0.3106530608
604	0.3106415522
605	0.3106348064
606	0.310627244
607	0.3106177183
608	0.3106080812
609	0.3105975143
610	0.3105875895
611	0.3105809488
612	0.3105705071
613	0.3105585903
614	0.3105467156
615	0.3105372204
616	0.3105253785
617	0.3105088114
618	0.3104970716
619	0.3104843512
620	0.3104720422
621	0.3104637391
622	0.3104529191
623	0.3104394289
624	0.3104300105
625	0.3104152342
626	0.3104037386
627	0.3103980419
628	0.310386162
629	0.310379252
630	0.3103706692
631	0.3103618473
632	0.3103550615
633	0.310346006
634	0.3103362162
635	0.3103249021
636	0.3103133335
637	0.3103026593
638	0.3102878342
639	0.3102781832
640	0.3102648579
641	0.3102547026
642	0.3102431907
643	0.3102295743
644	0.3102176811
645	0.3102093869
646	0.3102030285
647	0.3101939298
648	0.3101827128
649	0.3101672319
650	0.3101539345
651	0.3101420521
652	0.3101286339
653	0.3101196984
654	0.3101081315
655	0.3101018054
656	0.3100906945
657	0.3100774933
658	0.3100704696
659	0.3100581467
660	0.3100466031
661	0.3100326937
662	0.3100230099
663	0.3100139614
664	0.3100067493
665	0.3099997412
666	0.3099910603
667	0.3099825946
668	0.3099684809
669	0.3099587352
670	0.3099446237
671	0.3099353955
672	0.3099204552
673	0.3099076552
674	0.309898922
675	0.309886138
676	0.3098752713
677	0.3098600751
678	0.3098490526
679	0.3098468454
680	0.3098416925
681	0.3098336481
682	0.309824213
683	0.309813552
684	0.3098035534
685	0.3097917169
686	0.30978317
687	0.3097741367
688	0.309764993
689	0.3097555151
690	0.3097452357
691	0.3097360417
692	0.3097248852
693	0.3097144363
694	0.3097014392
695	0.3096919429
696	0.3096778534
697	0.309672636
698	0.3096612536
699	0.3096488649
700	0.309634375
701	0.3096242722
702	0.3096140547
703	0.3096040504
704	0.3095961005
705	0.3095821461
706	0.3095737248
707	0.3095614857
708	0.3095547819
709	0.3095467806
710	0.3095335579
711	0.3095241463
712	0.3095151846
713	0.3095097312
714	0.3094991301
715	0.3094899303
716	0.309476586
717	0.3094630212
718	0.3094533802
719	0.3094445178
720	0.3094350409
721	0.3094240323
722	0.3094180139
723	0.3094080741
724	0.3093942339
725	0.3093827888
726	0.3093681925
727	0.3093595311
728	0.3093466664
729	0.3093317922
730	0.3093208618
731	0.3093066338
732	0.3092962295
733	0.3092809024
734	0.3092711209
735	0.3092592256
736	0.309250855
737	0.3092427022
738	0.309234204
739	0.3092233232
740	0.3092108697
741	0.3091985749
742	0.3091873899
743	0.3091777069
744	0.3091681785
745	0.3091579238
746	0.3091492288
747	0.3091371396
748	0.3091271434
749	0.309118591
750	0.3091053852
751	0.3090941175
752	0.3090819518
753	0.309073931
754	0.3090620654
755	0.3090479916
756	0.3090387691
757	0.309029518
758	0.3090202056
759	0.3090116995
760	0.3089999295
761	0.3089877079
762	0.3089812392
763	0.3089716958
764	0.3089582438
765	0.3089486362
766	0.3089373223
767	0.308927358
768	0.308914009
769	0.3089084601
770	0.3088993368
771	0.3088907022
772	0.3088773369
773	0.3088689156
774	0.3088599738
775	0.308852642
776	0.3088399672
777	0.3088301716
778	0.3088189683
779	0.3088103806
780	0.3088003505
781	0.3087924248
782	0.3087874372
783	0.3087779249
784	0.3087697516
785	0.3087588132
786	0.3087499775
787	0.3087392741
788	0.3087289777
789	0.3087190364
790	0.308708051
791	0.3087004538
792	0.3086897555
793	0.3086785367
