iter	Passed	Remaining
0	2	2324
1	4	2303
2	6	2251
3	8	2206
4	11	2231
5	13	2246
6	15	2223
7	17	2199
8	20	2208
9	22	2195
10	24	2185
11	26	2176
12	28	2184
13	30	2176
14	33	2170
15	35	2157
16	37	2173
17	39	2167
18	41	2161
19	44	2156
20	46	2164
21	48	2158
22	50	2154
23	53	2160
24	55	2160
25	57	2155
26	59	2150
27	61	2147
28	64	2145
29	66	2143
30	68	2136
31	70	2139
32	72	2134
33	75	2134
34	77	2127
35	79	2124
36	81	2124
37	83	2120
38	85	2118
39	88	2114
40	90	2113
41	92	2108
42	94	2105
43	96	2105
44	98	2099
45	101	2096
46	103	2100
47	105	2096
48	107	2091
49	110	2091
50	112	2093
51	114	2091
52	117	2091
53	119	2091
54	121	2086
55	123	2080
56	125	2075
57	127	2071
58	129	2068
59	131	2064
60	133	2061
61	136	2060
62	138	2058
63	140	2054
64	142	2051
65	144	2046
66	146	2044
67	148	2040
68	150	2035
69	153	2038
70	155	2038
71	157	2035
72	160	2031
73	162	2031
74	164	2027
75	166	2023
76	168	2021
77	170	2018
78	172	2016
79	175	2012
80	177	2009
81	179	2005
82	181	2002
83	183	2001
84	185	2002
85	188	1998
86	190	1995
87	192	1994
88	194	1990
89	196	1989
90	198	1985
91	201	1984
92	203	1982
93	205	1979
94	207	1976
95	209	1974
96	211	1971
97	213	1968
98	215	1964
99	217	1961
100	220	1961
101	222	1958
102	224	1955
103	226	1954
104	228	1951
105	230	1947
106	233	1944
107	235	1943
108	237	1942
109	239	1939
110	241	1937
111	244	1937
112	246	1936
113	248	1933
114	251	1933
115	253	1930
116	255	1929
117	257	1925
118	259	1924
119	262	1922
120	264	1920
121	266	1918
122	268	1917
123	270	1914
124	273	1911
125	275	1908
126	277	1906
127	279	1903
128	281	1901
129	283	1899
130	286	1897
131	288	1894
132	290	1892
133	292	1890
134	294	1888
135	296	1886
136	298	1882
137	301	1880
138	303	1877
139	305	1874
140	307	1871
141	309	1869
142	311	1867
143	313	1864
144	315	1861
145	317	1859
146	320	1857
147	322	1854
148	324	1850
149	326	1848
150	328	1845
151	330	1844
152	332	1842
153	335	1841
154	337	1838
155	339	1836
156	341	1833
157	343	1831
158	345	1829
159	347	1826
160	350	1824
161	352	1823
162	354	1820
163	356	1818
164	358	1815
165	361	1814
166	363	1812
167	365	1810
168	368	1809
169	370	1806
170	372	1804
171	374	1801
172	376	1798
173	378	1795
174	380	1792
175	382	1790
176	384	1788
177	386	1786
178	389	1785
179	391	1783
180	393	1780
